metric,llm,harness,workflow,reasoning_effort,runs_attempted,runs_successfully_completed,runs_ended_with_errors,median_output_tokens_per_completed_run,expected-unmasked,expected-unmasked_ci95_low,expected-unmasked_ci95_high,expected-masked,expected-masked_ci95_low,expected-masked_ci95_high,surprising-unmasked,surprising-unmasked_ci95_low,surprising-unmasked_ci95_high,surprising-masked,surprising-masked_ci95_low,surprising-masked_ci95_high
Exploration E,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,66.0,65.73333333333333,66.26666666666667,61.68888888888889,59.866666666666674,63.2,60.46666666666667,50.266666666666666,65.86666666666666,62.266666666666666,61.333333333333336,63.06666666666668
Exploration E,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,59.2,46.488888888888894,65.95555555555556,63.111111111111114,61.466666666666676,64.44444444444446,65.6,64.80000000000001,66.2,64.0,62.133333333333326,65.13333333333334
Exploration E,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,25.288888888888888,7.066666666666667,43.95555555555555,47.111111111111114,34.13333333333333,57.68888888888889,38.13333333333333,21.333333333333332,52.93333333333332,43.733333333333334,31.733333333333338,54.86666666666666
Exploration E,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,64.0,61.511111111111106,65.33333333333333,61.333333333333336,59.644444444444446,62.75555555555555,63.86666666666667,61.866666666666674,65.46666666666667,63.86666666666667,63.6,64.0
Exploration E,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,65.86666666666667,64.71111111111111,66.66666666666666,66.66666666666667,66.66666666666666,66.66666666666666,59.400000000000006,46.06666666666667,66.46666666666667,66.66666666666667,66.66666666666666,66.66666666666666
Exploration E,Inferact/Qwen3.8-27B-NVFP4,Custom runner,persistent,medium,40,38,2,183076.0,64.75555555555556,64.35555555555557,65.20000000000002,59.422222222222224,56.0,62.133333333333326,64.66666666666667,64.13333333333333,65.13333333333334,61.06666666666666,60.266666666666666,62.0
Exploration E,RedHatAI/Gemma-4-31B-IT-FP8-Dynamic,Custom runner,persistent,medium,40,37,3,199780,62.53333333333333,60.13333333333334,64.35555555555555,62.266666666666666,59.06666666666666,64.22222222222223,63.46666666666667,62.46666666666666,64.33333333333334,63.93333333333334,62.66666666666667,64.93333333333334
Evidence responsiveness B,gpt-6-astra,Codex,persistent,medium,40,40,0,85653.0,100.0,100.0,100.0,94.24603174603175,89.16666666666666,98.33333333333334,87.5,80.0,94.62962962962962,95.35714285714285,91.66666666666666,98.4920634920635
Evidence responsiveness B,gpt-5.6-sol,Codex,persistent,medium,40,40,0,172152.0,87.03703703703704,77.77777777777779,95.23809523809524,93.05555555555556,86.41975308641975,100.0,79.81481481481481,72.63888888888889,87.5,89.16666666666667,81.66666666666667,96.66666666666667
Evidence responsiveness B,gpt-5.6-terra,Codex,persistent,medium,40,40,0,56127.5,86.80555555555556,78.125,95.55555555555556,87.77777777777777,68.8888888888889,100.0,83.42592592592592,71.11111111111111,95.83333333333334,92.22222222222223,85.0,98.33333333333334
Evidence responsiveness B,gpt-5.6-luna,Codex,persistent,medium,40,36,4,77247.5,70.9814814814815,57.88160273368607,82.66666666666667,79.01731601731602,66.46320346320347,90.59292929292928,92.99603174603175,85.49404761904762,98.33333333333334,80.06613756613757,67.14285714285714,90.39682539682539
Evidence responsiveness B,claude-opus-5,Custom runner,persistent,medium,20,20,0,321510.5,87.5,72.22222222222221,100.0,75.0,66.66666666666666,91.66666666666666,69.44444444444444,66.66666666666666,75.0,68.66666666666667,57.333333333333336,80.0
Evidence responsiveness B,Inferact/Qwen3.8-27B-NVFP4,Biomni,Biomni,xhigh,40,34,6,81632.5,61.745149911816576,54.949735449735435,66.19047619047619,63.45799262465929,60.55796055796056,65.993265993266,57.5021645021645,49.335497835497826,63.04761904761905,64.25925925925927,60.00000000000001,66.66666666666666
